fac_id,facility_name,county,description,address1,fac_zip,main_site_name,latitude,longitude,fac_phone,web_site
9787,Montefiore Medical Center - Wellness Center at Waters Place,Bronx,Hospital Extension Clinic,1510 Waters Place,10461,Montefiore Medical Center - Henry & Lucy Moses Div,40.845941,-73.840885,,
6484,"Perry Avenue Family Medical Center, Inc.",Bronx,Diagnostic and Treatment Center,3071 Perry Avenue,10467,,40.872791,-73.879303,7182316700,
15234,Alegria Health and Wellness,Bronx,Diagnostic and Treatment Center,3475 Third Avenue,10456,,40.83029,-73.90638,9294689401,
3941,Women's Health & Birthing Pavilion,Bronx,Diagnostic and Treatment Center Extension Clinic,70 West Burnside Ave,10453,Morris Heights Health Center,40.854454,-73.910202,2127162229,
15323,Genesis Renal Care,Bronx,Diagnostic and Treatment Center Extension Clinic,3200 Baychester Avenue,10475,Genesis Renal Care,40.87733,-73.83592,7189475700,
15731,Bronx Treatment Center,Bronx,Diagnostic and Treatment Center Extension Clinic,5235 Broadway,10463,Bronx Treatment Center,40.87543,-73.90893,6466033767,
9296,Bella Vista Community Health Center,Bronx,Diagnostic and Treatment Center Extension Clinic,882-886 Hunts Point Avenue,10474,Urban Health Plan,40.819061,-73.889282,7183782075,
1178,BronxCare Hospital Center,Bronx,Hospital,1650 Grand Concourse,10457,BronxCare Hospital Center,40.843609,-73.911545,7189018800,
7899,Pelham Physical Medicine Inc,Bronx,Diagnostic and Treatment Center,2118 Williamsbridge Road,10461,,40.855915,-73.85553,7188233900,
3898,Ambulatory Surgery Center of Greater New York,Bronx,Diagnostic and Treatment Center,1101 Pelham Parkway N,10469,,40.858292,-73.855171,7185153500,
6808,"La Casa De Salud, Inc.",Bronx,Diagnostic and Treatment Center,966 Prospect Avenue,10459,,40.822506,-73.90036,7188421412,
15253,UCHC Mobile Dental Unit,Bronx,Diagnostic and Treatment Center Extension Clinic,260 East 188th Street,10458,Union Community Health Center,40.86075,-73.89595,7186188236,
13984,SBH Health and Wellness Center,Bronx,Hospital Extension Clinic,4507 Third Avenue,10457,SBH Health System,40.85363,-73.89145,7189603516,
9570,Morris High School,Bronx,School Based Hospital Extension Clinic,1110 Boston Road,10456,Montefiore Medical Center - Henry & Lucy Moses Div,40.827625,-73.904419,7186964070,
4492,FMS-Morris Park,Bronx,Diagnostic and Treatment Center Extension Clinic,1325 Morris Park Avenue,10461,FMS-Southern Manhattan Dialysis Center,40.851326,-73.844727,7185972255,
9303,Adolescent Health and Wellness Center,Bronx,Diagnostic and Treatment Center Extension Clinic,960 Southern Boulevard,10459,Urban Health Plan,40.821728,-73.891602,7183202577,
15830,Bronx Treatment Center,Bronx,Diagnostic and Treatment Center Extension Clinic,1544 Shakespeare Avenue,10452,Bronx Treatment Center,40.84579,-73.9191,6465180490,
9789,Boricua Community Health Center,Bronx,Diagnostic and Treatment Center Extension Clinic,3209 Third Avenue,10451,Urban Health Plan,40.823338,-73.909461,,
9969,FMS-Eastchester,Bronx,Diagnostic and Treatment Center Extension Clinic,"1776 Eastchester Road, Suite 240",10461,FMS-Southern Manhattan Dialysis Center,40.849448,-73.842687,,
6447,The Children's Aid Society,Bronx,Diagnostic and Treatment Center,910 East 172nd Street,10460,,40.834072,-73.889938,7188608595,
9611,P.S. 179,Bronx,School Based Hospital Extension Clinic,468 East 140th Street,10454,NYU Langone Hospitals,40.809471,-73.919868,,
10384,West Farms Dialysis,Bronx,Diagnostic and Treatment Center Extension Clinic,1820 East Tremont  Avenue,10460,Bronx Dialysis Center,40.840172,-73.866844,7188240245,
15295,Care Found Here Morris Avenue Health Center,Bronx,Diagnostic and Treatment Center Extension Clinic,528 Morris Avenue,10451,Care For the Homeless,40.81699,-73.92278,2123664459,
9020,Herbert H. Lehman High School,Bronx,School Based Hospital Extension Clinic,3000 East Tremont Street,10461,Montefiore Medical Center - Henry & Lucy Moses Div,40.840576,-73.838272,7186964070,
6066,Middle School 142,Bronx,School Based Hospital Extension Clinic,3750 Baychester Avenue,10466,Montefiore Medical Center - Henry & Lucy Moses Div,40.885578,-73.840729,,
10196,Hutchinson River Dialysis,Bronx,Diagnostic and Treatment Center Extension Clinic,2331 Eastchester Road,10469,Bronx Dialysis Center,40.86058,-73.84362,,
7105,CenterLight Healthcare D&TC - Allerton Avenue Site,Bronx,Diagnostic and Treatment Center Extension Clinic,668 Allerton Avenue,10467,CenterLight Healthcare Diagnostic and Treatment Center,40.865353,-73.868546,,
1164,BronxCare Hospital Center,Bronx,Hospital,1276 Fulton Avenue,10456,,40.831772,-73.903656,7189018800,
9309,Center for Child Health & Resiliency,Bronx,Hospital Extension Clinic,890 Prospect Avenue,10459,Montefiore Medical Center - Henry & Lucy Moses Div,40.820988,-73.901009,7185884460,
6035,Barnabas Hospital Methadone,Bronx,Hospital Extension Clinic,4535-39 Third Avenue,10457,SBH Health System,40.854229,-73.890892,,
9652,Waters Place Dialysis Center,Bronx,Diagnostic and Treatment Center Extension Clinic,1733 Eastchester Road,10461,Bronx Dialysis Center,40.847191,-73.84478,,
3632,Fordham-Tremont Comm Mental Health Center,Bronx,Hospital Extension Clinic,1910 Arthur Avenue,10458,SBH Health System,40.845509,-73.893288,7189600400,
15561,Bronx Treatment Center,Bronx,Diagnostic and Treatment Center Extension Clinic,828 East 149th Street,10455,Bronx Treatment Center,40.81228,-73.90523,9294470267,
7049,Castle Hill Family Practice,Bronx,Hospital Extension Clinic,2175 Westchester Avenue,10462,Montefiore Medical Center - Henry & Lucy Moses Div,40.834164,-73.85247,7188296770,https://www.montefiore.org/mmg-castle-hill
15662,CenterLight PACE Mobile Van 2,Bronx,Mobile Diagnostic and Treatment Center Extension Clinic,2515 Olinville Avenue,10467,CenterLight Healthcare Diagnostic and Treatment Center,40.86384,-73.86855,,
10070,PS18,Bronx,School Based Hospital Extension Clinic,502 Morris Avenue,10451,Montefiore Medical Center - Henry & Lucy Moses Div,40.816223,-73.922745,7186964070,
3721,Samaritan Health Service University,Bronx,Diagnostic and Treatment Center Extension Clinic,1381 University Ave,10452,Damian Family Care Center,40.842339,-73.926102,7182062000,
3189,"Vocational Instruction Project Community Services, Inc.",Bronx,Diagnostic and Treatment Center,770 East 176th Street,10460,,40.845509,-73.893288,6462567571,
10440,Care For the Homeless at The Living Room,Bronx,Diagnostic and Treatment Center Extension Clinic,800 Barretto Street,10474,Care For the Homeless,40.816823,-73.889814,2123664459,
15470,P.S. 025 Bilingual School,Bronx,School Based Hospital Extension Clinic,811 East 149th Street,10455,NYU Langone Hospitals,40.81271,-73.90573,,
15747,I.S 229 Roland Patterson - X229,Bronx,School Based Hospital Extension Clinic,"275 Harlem River Drive, 2nd Floor",10453,Montefiore Medical Center - Henry & Lucy Moses Div,40.85247,-73.92115,,
7561,"New York Renal Associates, Inc",Bronx,Diagnostic and Treatment Center,3468 Park Avenue,10468,,40.830688,-73.908607,7184012836,
15300,Crotona Parkway Ambulatory Surgery Center,Bronx,Diagnostic and Treatment Center,1976 Crotona Parkway,10460,,40.84302,-73.88504,7183075700,
1175,Calvary Hospital Inc,Bronx,Hospital,1740-70 Eastchester Road,10461,,40.847294,-73.844658,7185182244,
7805,Calvary Home Health Agency and Hospice Care,Bronx,Hospice,1740 Eastchester Road,10461,,40.847294,-73.844658,7185182465,
10105,Health Center at Tremont,Bronx,Diagnostic and Treatment Center Extension Clinic,1826 Arthur Avenue,10457,Morrisania Diagnostic & Treatment Center,40.843814,-73.894638,,
9479,St Barnabas Ambulatory Care Center,Bronx,Hospital Extension Clinic,4487 Third Avenue,10457,SBH Health System,40.853554,-73.89151,,
4688,Bronx Regional High School,Bronx,School Based Hospital Extension Clinic,1010 Rev J A Polite Avenue,10459,Montefiore Medical Center - Henry & Lucy Moses Div,40.823048,-73.898827,7189206062,
5511,West Farms Family Practice Center,Bronx,Hospital Extension Clinic,"1825 Boston Road,",10460,Montefiore Medical Center - Henry & Lucy Moses Div,40.83898,-73.88542,7188428040,
1208,Morrisania-Mott Haven,Bronx,Diagnostic and Treatment Center Extension Clinic,1309 Fulton Ave,10456,New York City Department of Health and Mental Hygiene,40.832485,-73.903343,7189016504,
15758,Bronx Treatment Center,Bronx,Diagnostic and Treatment Center Extension Clinic,800 St. Ann's Avenue,10456,Bronx Treatment Center,40.82078,-73.9099,6466033767,
1186,North Central Bronx Hospital,Bronx,Hospital,3424 Kossuth Avenue & 210th Street,10467,Jacobi Medical Center,40.880512,-73.881538,7185193500,
15160,Montefiore Medical Center - Montefiore Medical Group- East Tremont Avenue,Bronx,Hospital Extension Clinic,3860 East Tremont Avenue,10465,Montefiore Medical Center - Henry & Lucy Moses Div,40.82349,-73.82,7188810100,
10187,X198,Bronx,School Based Hospital Extension Clinic,1180 Tinton Ave,10456,Montefiore Medical Center - Henry & Lucy Moses Div,40.828532,-73.900594,7186964071,
7627,Montefiore Med Park Group Dental,Bronx,Hospital Extension Clinic,1625 Poplar Street-Suite 225,10461,Montefiore Medical Center - Henry & Lucy Moses Div,40.845581,-73.846794,,
7609,Boston Post Road Dialysis Center,Bronx,Diagnostic and Treatment Center Extension Clinic,4000-4026 Boston Road,10475,Bronx Dialysis Center,40.884458,-73.831571,7188629238,
9439,Montefiore Einstein Center for Heart and Vascular Care at 1628 Eastchester Road,Bronx,Hospital Extension Clinic,1628 Eastchester Road,10461,Montefiore Medical Center - Henry & Lucy Moses Div,40.845135,-73.845207,6466705120,
